id,name,num_cups,win,draw,loss,goal_scored,goal_against,image
41,Algeria,4,3,3,7,13,19,http://www.thesoccerworldcups.com/images/flags/algeria_sml_5.png
63,Angola,1,0,2,1,1,2,http://www.thesoccerworldcups.com/images/flags/angola_sml_5.png
4,Argentina,16,42,14,21,131,84,http://www.thesoccerworldcups.com/images/flags/argentina_sml_5.png
46,Australia,4,2,3,8,11,26,http://www.thesoccerworldcups.com/images/flags/australia_sml_5.png
19,Austria,8,12,4,13,43,47,http://www.thesoccerworldcups.com/images/flags/austria_sml_5.png
14,Belgium,12,14,9,18,52,66,http://www.thesoccerworldcups.com/images/flags/belgium_sml_5.png
68,Bolivia,3,0,1,5,1,20,http://www.thesoccerworldcups.com/images/flags/bolivia_sml_5.png
59,Bosnia and Herzegovina,1,1,0,2,4,4,http://www.thesoccerworldcups.com/images/flags/bosnia_and_herzegovina_sml_5.png
1,Brazil,20,70,17,17,221,102,http://www.thesoccerworldcups.com/images/flags/brazil_sml_5.png
33,Bulgaria,7,3,8,15,22,53,http://www.thesoccerworldcups.com/images/flags/bulgaria_sml_5.png
31,Cameroon,7,4,7,12,18,43,http://www.thesoccerworldcups.com/images/flags/cameroon_sml_5.png
71,Canada,1,0,0,3,0,5,http://www.thesoccerworldcups.com/images/flags/canada_sml_5.png
20,Chile,9,11,7,15,40,49,http://www.thesoccerworldcups.com/images/flags/chile_sml_5.png
74,China,1,0,0,3,0,9,http://www.thesoccerworldcups.com/images/flags/china_sml_5.png
28,Colombia,5,7,2,9,26,27,http://www.thesoccerworldcups.com/images/flags/colombia_sml_5.png
29,Costa Rica,4,5,4,6,17,23,http://www.thesoccerworldcups.com/images/flags/costa_rica_sml_5.png
27,Croatia,4,7,2,7,21,17,http://www.thesoccerworldcups.com/images/flags/croatia_sml_5.png
57,Cuba,1,1,1,1,5,12,http://www.thesoccerworldcups.com/images/flags/cuba_sml_5.png
18,Czech Republic,9,12,5,16,47,49,http://www.thesoccerworldcups.com/images/flags/czech_republic_sml_5.png
25,Denmark,4,8,2,6,27,24,http://www.thesoccerworldcups.com/images/flags/denmark_sml_5.png
48,East Germany,1,2,2,2,5,5,http://www.thesoccerworldcups.com/images/flags/east_germany_sml_5.png
40,Ecuador,3,4,1,5,10,11,http://www.thesoccerworldcups.com/images/flags/ecuador_sml_5.png
65,Egypt,2,0,2,2,3,6,http://www.thesoccerworldcups.com/images/flags/egypt_sml_5.png
77,El Salvador,2,0,0,6,1,22,http://www.thesoccerworldcups.com/images/flags/el_salvador_sml_5.png
6,England,14,26,20,16,79,56,http://www.thesoccerworldcups.com/images/flags/england_sml_5.png
7,France,14,28,12,19,106,71,http://www.thesoccerworldcups.com/images/flags/france_sml_5.png
2,Germany,18,66,20,20,224,121,http://www.thesoccerworldcups.com/images/flags/germany_sml_5.png
36,Ghana,3,4,3,5,13,16,http://www.thesoccerworldcups.com/images/flags/ghana_sml_5.png
49,Greece,3,2,2,6,5,20,http://www.thesoccerworldcups.com/images/flags/greece_sml_5.png
75,Haiti,1,0,0,3,2,14,http://www.thesoccerworldcups.com/images/flags/haiti_sml_5.png
8,Holland,10,27,12,11,86,48,http://www.thesoccerworldcups.com/images/flags/holland_sml_5.png
62,Honduras,3,0,3,6,3,14,http://www.thesoccerworldcups.com/images/flags/honduras_sml_5.png
16,Hungary,9,15,3,14,87,57,http://www.thesoccerworldcups.com/images/flags/hungary_sml_5.png
72,Indonesia,1,0,0,1,0,6,http://www.thesoccerworldcups.com/images/flags/indonesia_sml_5.png
54,Iran,4,1,3,8,7,22,http://www.thesoccerworldcups.com/images/flags/iran_sml_5.png
69,Iraq,1,0,0,3,1,4,http://www.thesoccerworldcups.com/images/flags/iraq_sml_5.png
38,Ireland,3,2,8,3,10,10,http://www.thesoccerworldcups.com/images/flags/ireland_sml_5.png
