cid,cup_year,standing,stage,points,win,draw,loss,goals_scored,goals_against
41,1982,13,1st Round Groups,4,2,0,1,5,5
41,1986,22,1st Round Groups,1,0,1,2,1,5
41,2010,28,1st Round Groups,1,0,1,2,0,2
41,2014,14,Round of 16,4,1,1,2,7,7
63,2006,23,1st Round Groups,2,0,2,1,1,2
4,1930,2,Final Game,8,4,0,1,18,9
4,1934,9,Round of 16,0,0,0,1,2,3
4,1958,13,1st Round Groups,2,1,0,2,5,10
4,1962,10,1st Round Groups,3,1,1,1,2,3
4,1966,5,Quarter Finals,5,2,1,1,4,2
4,1974,8,2nd Round Groups,4,1,2,3,9,12
4,1978,1,Final Game,11,5,1,1,15,4
4,1982,11,2nd Round Groups,4,2,0,3,8,7
4,1986,1,Final Game,13,6,1,0,14,5
4,1990,2,Final Game,7,2,3,2,5,4
4,1994,10,Round of 16,6,2,0,2,8,6
4,1998,6,Quarter Finals,10,3,1,1,10,4
4,2002,18,1st Round Groups,4,1,1,1,2,2
4,2006,6,Quarter Finals,11,3,2,0,11,3
4,2010,5,Quarter Finals,12,4,0,1,10,6
4,2014,2,Final Game,16,5,1,1,8,4
46,1974,14,1st Round Groups,1,0,1,2,0,5
46,2006,16,Round of 16,4,1,1,2,5,6
46,2010,21,1st Round Groups,4,1,1,1,3,6
46,2014,30,1st Round Groups,0,0,0,3,3,9
19,1934,4,3rd Place Game,4,2,0,2,7,7
19,1938,16,Round of 16,0,0,0,0,0,0
19,1954,3,3rd Place Game,8,4,0,1,17,12
19,1958,15,1st Round Groups,1,0,1,2,2,7
19,1978,7,2nd Round Groups,6,3,0,3,7,10
19,1982,8,2nd Round Groups,5,2,1,2,5,4
19,1990,18,1st Round Groups,2,1,0,2,2,3
19,1998,23,1st Round Groups,2,0,2,1,3,4
14,1930,11,1st Round Groups,0,0,0,2,0,4
14,1934,15,Round of 16,0,0,0,1,2,5
14,1938,13,Round of 16,0,0,0,1,1,3
14,1954,12,1st Round Groups,1,0,1,1,5,8
14,1970,10,1st Round Groups,2,1,0,2,4,5
14,1982,10,2nd Round Groups,5,2,1,2,3,5
14,1986,4,3rd Place Game,6,2,2,3,12,15
14,1990,11,Round of 16,4,2,0,2,6,4
14,1994,11,Round of 16,6,2,0,2,4,4
14,1998,19,1st Round Groups,3,0,3,0,3,3
14,2002,14,Round of 16,5,1,2,1,6,7
14,2014,6,Quarter Finals,12,4,0,1,6,3
68,1930,12,1st Round Groups,0,0,0,2,0,8
68,1950,13,1st Round Groups,0,0,0,1,0,8
68,1994,21,1st Round Groups,1,0,1,2,1,4
59,2014,20,1st Round Groups,3,1,0,2,4,4
1,1930,6,1st Round Groups,2,1,0,1,5,2
1,1934,14,Round of 16,0,0,0,1,1,3
1,1938,3,3rd Place Game,7,3,1,1,14,11
1,1950,2,Final Game,9,4,1,1,22,6
1,1954,6,Quarter Finals,3,1,1,1,8,5
1,1958,1,Final Game,11,5,1,0,16,4
1,1962,1,Final Game,11,5,1,0,14,5
1,1966,11,1st Round Groups,2,1,0,2,4,6
1,1970,1,Final Game,12,6,0,0,19,7
1,1974,4,3rd Place Game,8,3,2,2,6,4
1,1978,3,3rd Place Game,11,4,3,0,10,3
1,1982,5,2nd Round Groups,8,4,0,1,15,6
1,1986,5,Quarter Finals,9,4,1,0,10,1
1,1990,9,Round of 16,6,3,0,1,4,2
1,1994,1,Final Game,17,5,2,0,11,3
1,1998,2,Final Game,13,4,1,2,14,10
1,2002,1,Final Game,21,7,0,0,18,4
1,2006,5,Quarter Finals,12,4,0,1,10,2
1,2010,6,Quarter Finals,10,3,1,1,9,4
1,2014,4,3rd Place Game,11,3,2,2,11,14
33,1962,15,1st Round Groups,1,0,1,2,1,7
33,1966,15,1st Round Groups,0,0,0,3,1,8
33,1970,13,1st Round Groups,1,0,1,2,5,9
33,1974,12,1st Round Groups,2,0,2,1,2,5
33,1986,15,Round of 16,2,0,2,2,2,6
33,1994,4,3rd Place Game,10,3,1,3,10,11
33,1998,29,1st Round Groups,1,0,1,2,1,7
31,1982,17,1st Round Groups,3,0,3,0,1,1
31,1990,7,Quarter Finals,6,3,0,2,7,9
31,1994,22,1st Round Groups,1,0,1,2,3,11
31,1998,25,1st Round Groups,2,0,2,1,2,5
31,2002,20,1st Round Groups,4,1,1,1,2,3
31,2010,31,1st Round Groups,0,0,0,3,2,5
31,2014,32,1st Round Groups,0,0,0,3,1,9
71,1986,24,1st Round Groups,0,0,0,3,0,5
20,1930,5,1st Round Groups,4,2,0,1,5,3
20,1950,9,1st Round Groups,2,1,0,2,5,6
20,1962,3,3rd Place Game,8,4,0,2,10,8
20,1966,13,1st Round Groups,1,0,1,2,2,5
20,1974,11,1st Round Groups,2,0,2,1,1,2
20,1982,22,1st Round Groups,0,0,0,3,3,8
20,1998,16,Round of 16,3,0,3,1,5,8
