cup_year,stage,cid1,cid2,pid,goal,penalty,time
2014,"1st Round, Group A",1,27,4178,-1,,11'
2014,"1st Round, Group A",1,27,4824,1,,29'
2014,"1st Round, Group A",1,27,4824,1,,71'
2014,"1st Round, Group A",1,27,5054,1,,90'+1'
2014,"1st Round, Group A",13,31,5270,1,,61'
2014,"1st Round, Group B",5,8,7168,1,,27'
2014,"1st Round, Group B",5,8,6832,1,,44'
2014,"1st Round, Group B",5,8,5718,1,,53'
2014,"1st Round, Group B",5,8,1705,1,,65'
2014,"1st Round, Group B",5,8,6832,1,,72'
2014,"1st Round, Group B",5,8,5718,1,,80'
2014,"1st Round, Group B",20,46,5952,1,,12'
2014,"1st Round, Group B",20,46,6764,1,,14'
2014,"1st Round, Group B",20,46,1126,1,,35'
2014,"1st Round, Group B",20,46,661,1,,90'+2'
2014,"1st Round, Group C",28,49,416,1,,5'
2014,"1st Round, Group C",28,49,2716,1,,58'
2014,"1st Round, Group C",28,49,5750,1,,90'+3'
2014,"1st Round, Group C",42,35,2952,1,,16'
2014,"1st Round, Group C",42,35,888,1,,64'
2014,"1st Round, Group C",42,35,2479,1,,66'
2014,"1st Round, Group D",9,29,1276,1,,24'
2014,"1st Round, Group D",9,29,1165,1,,54'
2014,"1st Round, Group D",9,29,1929,1,,57'
2014,"1st Round, Group D",9,29,6738,1,,84'
2014,"1st Round, Group D",6,3,4184,1,,35'
2014,"1st Round, Group D",6,3,6428,1,,37'
2014,"1st Round, Group D",6,3,566,1,,50'
2014,"1st Round, Group E",21,40,6771,1,,22'
2014,"1st Round, Group E",21,40,4380,1,,48'
2014,"1st Round, Group E",21,40,6081,1,,90'+3'
2014,"1st Round, Group E",7,62,743,1,,45'
2014,"1st Round, Group E",7,62,6780,-1,,48'
2014,"1st Round, Group E",7,62,743,1,,72'
2014,"1st Round, Group F",4,59,3591,-1,,3'
2014,"1st Round, Group F",4,59,4433,1,,65'
2014,"1st Round, Group F",4,59,3029,1,,84'
2014,"1st Round, Group G",2,17,4661,1,,12'
2014,"1st Round, Group G",2,17,3005,1,,32'
2014,"1st Round, Group G",2,17,4661,1,,45'+1'
2014,"1st Round, Group G",2,17,4661,1,,78'
2014,"1st Round, Group G",36,23,1750,1,,1'
2014,"1st Round, Group G",36,23,482,1,,82'
2014,"1st Round, Group G",36,23,1008,1,,86'
2014,"1st Round, Group H",14,41,2183,1,,25'
2014,"1st Round, Group H",14,41,2190,1,,70'
2014,"1st Round, Group H",14,41,4426,1,,80'
2014,"1st Round, Group H",11,26,3859,1,,68'
2014,"1st Round, Group H",11,26,3457,1,,74'
2014,"1st Round, Group A",31,27,4985,1,,11'
2014,"1st Round, Group A",31,27,5302,1,,48'
2014,"1st Round, Group A",31,27,4137,1,,61'
2014,"1st Round, Group A",31,27,4137,1,,73'
2014,"1st Round, Group B",5,20,6862,1,,20'
2014,"1st Round, Group B",5,20,389,1,,43'
2014,"1st Round, Group B",46,8,5718,1,,20'
2014,"1st Round, Group B",46,8,1126,1,,21'
2014,"1st Round, Group B",46,8,3196,1,,54'
2014,"1st Round, Group B",46,8,6832,1,,58'
2014,"1st Round, Group B",46,8,1758,1,,68'
2014,"1st Round, Group C",28,42,5750,1,,64'
2014,"1st Round, Group C",28,42,5518,1,,70'
2014,"1st Round, Group C",28,42,2479,1,,73'
2014,"1st Round, Group D",9,6,6433,1,,39'
2014,"1st Round, Group D",9,6,5806,1,,75'
2014,"1st Round, Group D",9,6,6433,1,,85'
2014,"1st Round, Group D",3,29,5849,1,,44'
2014,"1st Round, Group E",21,7,2517,1,,17'
2014,"1st Round, Group E",21,7,4293,1,,18'
2014,"1st Round, Group E",21,7,6753,1,,40'
2014,"1st Round, Group E",21,7,743,1,,67'
2014,"1st Round, Group E",21,7,6231,1,,73'
2014,"1st Round, Group E",21,7,1965,1,,81'
2014,"1st Round, Group E",21,7,7170,1,,87'
2014,"1st Round, Group E",62,40,1541,1,,31'
2014,"1st Round, Group E",62,40,6771,1,,34'
2014,"1st Round, Group E",62,40,6771,1,,65'
2014,"1st Round, Group F",4,54,4433,1,,90'+1'
2014,"1st Round, Group F",32,59,4951,1,,29'
2014,"1st Round, Group G",2,36,2615,1,,51'
2014,"1st Round, Group G",2,36,482,1,,54'
2014,"1st Round, Group G",2,36,2720,1,,63'
2014,"1st Round, Group G",2,36,3564,1,,71'
2014,"1st Round, Group G",23,17,3264,1,,5'
2014,"1st Round, Group G",23,17,1750,1,,64'
2014,"1st Round, Group G",23,17,6858,1,,81'
2014,"1st Round, Group H",14,11,5032,1,,88'
2014,"1st Round, Group H",26,41,6246,1,,26'
2014,"1st Round, Group H",26,41,2761,1,,28'
2014,"1st Round, Group H",26,41,1843,1,,38'
2014,"1st Round, Group H",26,41,6289,1,,50'
2014,"1st Round, Group H",26,41,961,1,,62'
2014,"1st Round, Group H",26,41,3618,1,,72'
2014,"1st Round, Group A",31,1,4824,1,,17'
2014,"1st Round, Group A",31,1,4283,1,,26'
2014,"1st Round, Group A",31,1,4824,1,,34'
2014,"1st Round, Group A",31,1,2332,1,,49'
2014,"1st Round, Group A",31,1,2215,1,,84'
2014,"1st Round, Group A",27,13,4220,1,,72'
2014,"1st Round, Group A",27,13,2672,1,,75'
2014,"1st Round, Group A",27,13,2879,1,,82'
2014,"1st Round, Group A",27,13,5302,1,,87'
2014,"1st Round, Group B",46,5,6954,1,,36'
2014,"1st Round, Group B",46,5,6645,1,,69'
2014,"1st Round, Group B",46,5,4272,1,,82'
2014,"1st Round, Group B",8,20,2193,1,,77'
2014,"1st Round, Group B",8,20,1758,1,,90'
2014,"1st Round, Group C",35,28,1588,1,,17'
2014,"1st Round, Group C",35,28,4973,1,,45'+1'
2014,"1st Round, Group C",35,28,4230,1,,55'
2014,"1st Round, Group C",35,28,4230,1,,82'
2014,"1st Round, Group C",35,28,5750,1,,90'
2014,"1st Round, Group C",49,42,5941,1,,42'
2014,"1st Round, Group C",49,42,888,1,,74'
2014,"1st Round, Group C",49,42,5940,1,,90'+3'
2014,"1st Round, Group D",3,9,2532,1,,81'
2014,"1st Round, Group E",62,21,6147,1,,6'
2014,"1st Round, Group E",62,21,6147,1,,31'
2014,"1st Round, Group E",62,21,6147,1,,71'
2014,"1st Round, Group F",32,4,4433,1,,3'
2014,"1st Round, Group F",32,4,4695,1,,4'
2014,"1st Round, Group F",32,4,4433,1,,45'+1'
2014,"1st Round, Group F",32,4,4695,1,,47'
2014,"1st Round, Group F",32,4,5780,1,,50'
2014,"1st Round, Group F",59,54,1964,1,,23'
2014,"1st Round, Group F",59,54,5394,1,,59'
2014,"1st Round, Group F",59,54,2492,1,,82'
2014,"1st Round, Group F",59,54,7017,1,,83'
2014,"1st Round, Group G",23,2,4661,1,,55'
2014,"1st Round, Group G",17,36,951,-1,,31'
2014,"1st Round, Group G",17,36,2720,1,,57'
2014,"1st Round, Group G",17,36,1565,1,,80'
2014,"1st Round, Group H",26,14,6923,1,,78'
2014,"1st Round, Group H",41,11,3589,1,,6'
2014,"1st Round, Group H",41,11,6246,1,,60'
2014,Round of 16,1,20,1651,1,,18'
2014,Round of 16,1,20,5952,1,,32'
2014,Round of 16,1,20,1651,,1,
2014,Round of 16,1,20,5373,,0,
2014,Round of 16,1,20,7114,,0,
2014,Round of 16,1,20,5952,,0,
2014,Round of 16,1,20,4178,,1,
2014,Round of 16,1,20,389,,1,
2014,Round of 16,1,20,3003,,0,
2014,Round of 16,1,20,1799,,1,
2014,Round of 16,1,20,4824,,1,
2014,Round of 16,1,20,3178,,0,
2014,Round of 16,28,9,5750,1,,28'
2014,Round of 16,28,9,5750,1,,50'
2014,Round of 16,8,13,1901,1,,48'
2014,Round of 16,8,13,6261,1,,88'
2014,Round of 16,8,13,3007,1,,90'+4'
2014,Round of 16,29,49,5849,1,,52'
2014,Round of 16,29,49,5144,1,,90'+1'
2014,Round of 16,29,49,899,,1,
2014,Round of 16,29,49,4515,,1,
2014,Round of 16,29,49,5849,,1,
2014,Round of 16,29,49,1414,,1,
2014,Round of 16,29,49,2578,,1,
2014,Round of 16,29,49,2944,,1,
2014,Round of 16,29,49,1165,,1,
2014,Round of 16,29,49,2458,,0,
2014,Round of 16,29,49,6727,,1,
2014,Round of 16,7,32,5411,1,,79'
2014,Round of 16,7,32,7210,-1,,90'+2'
2014,Round of 16,2,41,6059,1,,92'
2014,Round of 16,2,41,5089,1,,120'+2'
2014,Round of 16,2,41,1843,1,,120'+4'
2014,Round of 16,4,21,1782,1,,118'
2014,Round of 16,14,23,1671,1,,93'
2014,Round of 16,14,23,4036,1,,105'
