id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
0,Alan A'Court,9,30,1934,,,Forward,,
1,Stefan Abadzhiev,7,3,1934,,,Forward,,
2,Jean-Paul Abalo,6,26,1975,5,9,Defender,,
3,Patrice Abanda,8,3,1978,6,0,Defender,,
4,Ignazio Abate,11,12,1986,5,10,Defender,,
5,Julio Abbadie,9,7,1930,,,Forward,,
6,Claude Abbes,5,24,1927,,,Goalkeeper,,
7,Christian Abbiati,7,8,1977,6,2,Goalkeeper,,
8,Roberto Abbondanzieri,8,19,1972,6,1,Goalkeeper,,
9,Gamal Abdelhamid,11,24,1957,,,Midfielder,,
10,Mohamed Abdeljawad,11,28,1962,,,Defender,,
11,Nacer Abdellah,3,3,1966,,,Defender,,
12,Adel Abdelrahman,12,11,1967,,,Forward,,
13,Nasrollah Abdollahi,10,2,1950,,,Forward,,
14,Djamal Abdoun,2,14,1986,5,10,Midfielder,,
15,Abdul-Rahim,5,23,1963,,,Forward,,
16,Abdulaziz Mohamed,12,12,1965,,,Forward,,
17,Majed Abdullah,11,1,1959,,,Forward,,
18,Mohamed Abdullah,10,1,1963,,,Defender,,
19,Abdullah Musa,3,2,1958,,,Goalkeeper,,
20,Hassan Abdulqader,4,15,1962,,,Goalkeeper,,
21,Yuki Abe,9,6,1981,5,9,Midfielder,,
22,Magdy Abedelghani,7,27,1959,,,Midfielder,,
23,Ahmed Abedzadeh,5,25,1966,,,Goalkeeper,,
24,Theophile Abega,7,9,1954,,,Midfielder,,
25,Andre Abegglen,3,7,1909,,,Forward,,
26,Abel,9,1,1952,,,Defender,,
27,Abel Xavier,11,30,1972,6,2,Defender,,
28,Abelardo,4,19,1970,5,10,Defender,,
29,Ramon Abeledo,9,24,1937,,,Forward,,
30,Eric Abidal,9,11,1979,5,10,Defender,,
31,Juan Carlos Ablanedo,9,2,1963,,,Goalkeeper,,
32,Attila Abonyi,8,16,1946,,,Forward,,
33,Abou Tarika,12,30,1979,5,8,Forward,,
34,Taher Abou Zeid,4,1,1962,,,Midfielder,,
35,Vincent Aboubakar,1,22,1992,5,9,Forward,,
36,Henock Abrahamsson,10,29,1909,,,Goalkeeper,,
37,Ruediger Abramczik,2,18,1956,,,Forward,,
38,Lahcen Abrami,12,31,1969,,,Defender,,
39,Sebastian Abreu,10,17,1976,6,3,Forward,,
40,Acacio,1,20,1959,,,Goalkeeper,,
41,Eusebio Acasuzo,4,8,1952,,,Goalkeeper,,
42,German Aceros,9,30,1938,,,Forward,,
43,Danilo Aceval,9,15,1975,,,Goalkeeper,,
44,David Acevedo,2,20,1937,,,Defender,,
45,Eduardo Acevedo,9,25,1959,,,Defender,,
46,Elmer Angel Acevedo,2,24,1946,,,Forward,,
47,Alberto Acha,4,3,1920,,,Defender,,
48,Gabriel Achilier,3,24,1985,5,11,Defender,,
49,Ignacio Achucarro,7,31,1936,,,Defender,,
50,Jovan Acimovic,6,21,1948,,,Midfielder,,
51,Milenko Acimovic,2,15,1977,6,1,Midfielder,,
52,Johnny Acosta,7,21,1983,5,9,Defender,,
53,Afriyie Acquah,1,5,1992,5,10,Midfielder,,
54,Clarence Acuña,2,8,1975,,,Midfielder,,
55,Juan Acuña,2,14,1923,,,Goalkeeper,,
56,Roberto Acuña,3,25,1972,5,8,Midfielder,,
57,Adam Adam,9,23,1957,,,Goalkeeper,,
58,Glen Adam,5,22,1959,,,Defender,,
59,Stere Adamache,8,17,1941,,,Goalkeeper,,
60,Jozef Adamec,2,26,1942,,,Forward,,
61,Fernand Adams,5,3,1903,,,Forward,,
62,Stephen Adams,9,28,1984,6,1,Goalkeeper,,
63,Tony Adams,10,10,1966,,,Defender,,
64,Adaozinho,4,2,1923,,,Forward,,
65,Eric Addo,11,12,1978,5,11,Midfielder,,
66,Otto Addo,6,9,1975,6,2,Midfielder,,
67,Lee Addy,9,26,1985,5,10,Defender,,
68,Emmanuel Adebayor,2,26,1984,6,2,Forward,,
69,Adelardo,11,26,1939,,,Defender,Forward,
70,Dele Adeleye,12,25,1988,6,2,Defender,,
71,Ademir,11,8,1922,,,Forward,,
72,Ademir Da Guia,4,3,1942,,,Midfielder,,
73,Mutiu Adepoju,12,22,1970,5,10,Midfielder,,
74,Dominic Adiyiah,11,29,1989,5,6,Forward,,
75,Sammy Adjei,9,1,1980,6,1,Goalkeeper,,
76,Ado,7,4,1944,,,Goalkeeper,,
77,Albert Adomah,12,13,1987,6,0,Midfielder,,
78,Adriano,2,17,1982,6,2,Forward,,
79,Paul Aebi,9,10,1910,,,Forward,,
80,Georges Aeby,9,10,1913,,,Forward,,
81,Ibrahim Afellay,4,2,1986,6,0,Midfielder,,
82,Harrison Afful,6,24,1986,5,6,Defender,,
83,Rabiu Afolabi,4,18,1980,6,0,Defender,,
