pid,cup_year,cid,jersey,played,started,captain,goals,goal_avg,yellow,red
0,1958,6,21,3,3,0,0,0.0,0,0
1,1966,33,17,0,0,0,0,0.0,0,0
2,2006,70,3,2,2,2,0,0.0,0,1
3,1998,31,13,0,0,0,0,0.0,0,0
4,2014,3,7,1,1,0,0,0.0,0,0
5,1954,9,7,4,4,0,2,0.5,0,0
6,1954,7,3,0,0,0,0,0.0,0,0
6,1958,7,1,4,4,0,0,0.0,0,0
7,2002,3,12,0,0,0,0,0.0,0,0
8,2006,4,1,5,5,0,0,0.0,0,0
9,1990,65,10,3,2,2,0,0.0,0,0
10,1994,50,13,4,4,2,0,0.0,1,0
11,1994,44,2,2,2,0,0,0.0,0,0
12,1990,65,19,2,0,0,0,0.0,0,0
13,1978,54,20,3,3,0,0,0.0,0,0
14,2010,41,22,1,0,0,0,0.0,0,0
15,1986,69,11,3,0,0,0,0.0,0,0
16,1990,73,9,0,0,0,0,0.0,0,0
17,1994,50,9,2,2,2,0,0.0,0,0
18,1990,73,6,3,3,2,0,0.0,0,0
19,1990,73,1,0,0,0,0,0.0,0,0
20,1990,73,22,0,0,0,0,0.0,0,0
21,2010,35,2,4,4,0,0,0.0,1,0
22,1990,65,8,3,3,0,1,0.33,1,0
23,1998,54,1,2,2,2,0,0.0,0,0
24,1982,31,14,3,3,0,0,0.0,0,0
25,1934,21,,2,2,0,1,0.5,0,0
25,1938,21,,3,3,1,3,1.0,0,0
26,1978,1,14,0,0,0,0,0.0,0,0
27,2002,17,3,1,0,0,0,0.0,0,0
28,1994,5,5,5,5,0,0,0.0,2,0
28,1998,5,5,1,1,0,0,0.0,0,0
29,1962,4,21,0,0,0,0,0.0,0,0
30,2006,7,3,6,6,0,0,0.0,2,0
30,2010,7,3,2,2,0,0,0.0,1,0
31,1986,5,22,0,0,0,0,0.0,0,0
31,1990,5,13,0,0,0,0,0.0,0,0
32,1974,46,11,2,1,0,0,0.0,0,0
33,2006,63,16,1,0,0,1,1.0,0,0
34,1990,65,12,1,0,0,0,0.0,0,0
35,2010,31,23,2,0,0,0,0.0,0,0
35,2014,31,10,2,2,0,0,0.0,0,0
36,1938,10,,3,3,0,0,0.0,0,0
37,1978,2,7,3,3,0,1,0.33,1,0
38,1998,44,15,2,1,0,0,0.0,0,0
39,2002,9,13,3,3,0,0,0.0,1,0
39,2010,9,13,4,0,0,0,0.0,0,0
40,1990,1,12,0,0,0,0,0.0,0,0
41,1982,37,1,0,0,0,0,0.0,0,0
42,1962,28,13,3,3,0,1,0.33,0,0
43,1998,22,12,0,0,0,0,0.0,0,0
44,1958,4,15,0,0,0,0,0.0,0,0
45,1986,9,3,4,4,1,0,0.0,1,0
46,1970,77,21,0,0,0,0,0.0,0,0
47,1950,68,,1,1,0,0,0.0,0,0
48,2014,40,21,2,0,0,0,0.0,0,0
49,1958,22,4,3,3,0,0,0.0,0,0
50,1974,12,10,6,6,1,0,0.0,1,0
51,2002,56,18,3,2,0,1,0.33,0,0
52,2014,29,2,2,1,0,0,0.0,1,0
53,2014,36,6,1,0,0,0,0.0,0,0
54,1998,20,8,4,4,0,0,0.0,1,0
55,1950,5,,0,0,0,0,0.0,0,0
56,1998,22,10,4,3,0,0,0.0,0,0
56,2002,22,10,4,4,0,0,0.0,1,1
56,2006,22,10,3,3,0,0,0.0,1,0
57,1982,66,21,0,0,0,0,0.0,0,0
58,1982,61,16,0,0,0,0,0.0,0,0
59,1970,24,21,2,2,0,0,0.0,0,0
60,1962,18,10,3,3,0,0,0.0,0,0
60,1970,18,10,3,2,0,0,0.0,0,0
61,1930,14,,2,2,0,0,0.0,0,0
62,2014,36,1,0,0,0,0,0.0,0,0
63,1998,6,5,4,4,0,0,0.0,0,0
64,1950,1,,0,0,0,0,0.0,0,0
65,2006,36,18,4,2,0,0,0.0,1,0
66,2006,36,20,2,1,0,0,0.0,1,0
