id,key,title,title2,code,synonyms,country_id,city_id,club,since,address,web,national,created_at,updated_at
1,alg,Algeria,,ALG,,27,,t,,,,f,2014-05-18 09:30:49.734294,2014-05-18 09:30:49.734294
2,egy,Egypt,,EGY,,28,,t,,,,f,2014-05-18 09:30:49.822555,2014-05-18 09:30:49.822555
3,mar,Morocco,,MAR,,29,,t,,,,f,2014-05-18 09:30:49.911235,2014-05-18 09:30:49.911235
4,lby,Libya,,LBY,,30,,t,,,,f,2014-05-18 09:30:50.000540,2014-05-18 09:30:50.000540
5,tun,Tunisia,,TUN,,31,,t,,,,f,2014-05-18 09:30:50.078627,2014-05-18 09:30:50.078627
6,cpv,Cape Verde,,CPV,,41,,t,,,,f,2014-05-18 09:30:50.154860,2014-05-18 09:30:50.154860
7,gam,Gambia,,GAM,,43,,t,,,,f,2014-05-18 09:30:50.245150,2014-05-18 09:30:50.245150
8,gui,Guinea,,GUI,,45,,t,,,,f,2014-05-18 09:30:50.333384,2014-05-18 09:30:50.333384
9,gnb,Guinea-Bissau,,GNB,Guinea Bissau,46,,t,,,,f,2014-05-18 09:30:50.411252,2014-05-18 09:30:50.411252
10,lbr,Liberia,,LBR,,47,,t,,,,f,2014-05-18 09:30:50.500293,2014-05-18 09:30:50.500293
11,mli,Mali,,MLI,,48,,t,,,,f,2014-05-18 09:30:50.589423,2014-05-18 09:30:50.589423
12,mtn,Mauritania,,MTN,,49,,t,,,,f,2014-05-18 09:30:50.678489,2014-05-18 09:30:50.678489
13,sen,Senegal,,SEN,,52,,t,,,,f,2014-05-18 09:30:50.805176,2014-05-18 09:30:50.805176
14,sle,Sierra Leone,,SLE,,53,,t,,,,f,2014-05-18 09:30:50.920429,2014-05-18 09:30:50.920429
15,ben,Benin,,BEN,,39,,t,,,,f,2014-05-18 09:30:51.042359,2014-05-18 09:30:51.042359
16,bfa,Burkina Faso,,BFA,,40,,t,,,,f,2014-05-18 09:30:51.163924,2014-05-18 09:30:51.163924
17,civ,Côte d'Ivoire,,CIV,,42,,t,,,,f,2014-05-18 09:30:51.275342,2014-05-18 09:30:51.275342
18,gha,Ghana,,GHA,,44,,t,,,,f,2014-05-18 09:30:51.396956,2014-05-18 09:30:51.396956
19,nig,Niger,,NIG,,50,,t,,,,f,2014-05-18 09:30:51.519002,2014-05-18 09:30:51.519002
20,nga,Nigeria,,NGA,,51,,t,,,,f,2014-05-18 09:30:51.642981,2014-05-18 09:30:51.642981
21,tog,Togo,,TOG,,54,,t,,,,f,2014-05-18 09:30:51.754171,2014-05-18 09:30:51.754171
22,cmr,Cameroon,,CMR,,19,,t,,,,f,2014-05-18 09:30:51.853560,2014-05-18 09:30:51.853560
23,cta,Central African Republic,,CTA,C. Afr. Rep.,20,,t,,,,f,2014-05-18 09:30:51.974692,2014-05-18 09:30:51.974692
24,cha,Chad,,CHA,,21,,t,,,,f,2014-05-18 09:30:52.118774,2014-05-18 09:30:52.118774
25,cgo,Congo,,CGO,Congo-Brazzaville|Congo-Brazz.,22,,t,,,,f,2014-05-18 09:30:52.231911,2014-05-18 09:30:52.231911
26,cod,Congo DR,,COD,Congo-Kinshasa|Congo-Kinsh.,23,,t,,,,f,2014-05-18 09:30:52.338613,2014-05-18 09:30:52.338613
27,eqg,Equatorial Guinea,,EQG,Equat. Guinea,24,,t,,,,f,2014-05-18 09:30:52.450116,2014-05-18 09:30:52.450116
28,gab,Gabon,,GAB,,25,,t,,,,f,2014-05-18 09:30:52.572656,2014-05-18 09:30:52.572656
29,stp,São Tomé and Príncipe,,STP,São Tomé e Príncipe|São Tomé/Pr.,26,,t,,,,f,2014-05-18 09:30:52.686424,2014-05-18 09:30:52.686424
30,bdi,Burundi,,BDI,,1,,t,,,,f,2014-05-18 09:30:52.821903,2014-05-18 09:30:52.821903
31,dji,Djibouti,,DJI,,3,,t,,,,f,2014-05-18 09:30:52.930137,2014-05-18 09:30:52.930137
32,eri,Eritrea,,ERI,,4,,t,,,,f,2014-05-18 09:30:53.053196,2014-05-18 09:30:53.053196
33,eth,Ethiopia,,ETH,,5,,t,,,,f,2014-05-18 09:30:53.185326,2014-05-18 09:30:53.185326
34,ken,Kenya,,KEN,,6,,t,,,,f,2014-05-18 09:30:53.293663,2014-05-18 09:30:53.293663
35,rwa,Rwanda,,RWA,,11,,t,,,,f,2014-05-18 09:30:53.416781,2014-05-18 09:30:53.416781
36,som,Somalia,,SOM,,13,,t,,,,f,2014-05-18 09:30:53.542715,2014-05-18 09:30:53.542715
37,ssd,South Sudan,,SSD,,32,,t,,,,f,2014-05-18 09:30:53.642663,2014-05-18 09:30:53.642663
38,sdn,Sudan,,SDN,,33,,t,,,,f,2014-05-18 09:30:53.741061,2014-05-18 09:30:53.741061
39,tan,Tanzania,,TAN,,14,,t,,,,f,2014-05-18 09:30:53.861433,2014-05-18 09:30:53.861433
